Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
2012-12-24,66,69,65.1,66,1412,4463354,297935415.8
2012-11-24,63,65.9,61.7,64.5,915,4580633,292480680.3
2012-10-24,60.5,63,60,61.8,693,2718982,166231832.7
2012-09-24,57,61,57,60,468,1101491,65351662.9
2012-06-24,56,57.3,55.8,56.4,357,506258,28528407.6
2012-05-24,53.9,56,53.6,55.1,268,1309791,71628863
2012-04-24,53.9,54,53,53.5,100,72168,3868143.8
2012-03-24,53.5,54,53,53.1,227,560264,29970320.7
2012-02-24,53.9,54.5,53,53.1,226,272723,14690298
11/29/24,52,54,51.9,53.9,367,2517772,132615074
11/28/24,51.9,52,51.5,52,71,123776,6414161.4
11/27/24,52.8,52.8,51.2,51.8,82,649862,33764646.2
11/26/24,51,52.5,51,52.2,124,171738,8966150.5
11/25/24,52.1,52.5,51,51.2,77,131082,6789550.3
11/22/24,51.1,54,51.1,52.2,126,309812,16539707.3
11/21/24,53.1,53.4,51.3,53.1,107,204106,10824143.4
11/20/24,50.7,53.5,50.1,53.2,407,1148627,60459552.1
11/19/24,51.1,51.1,50,50.5,39,50075,2505003.9
11/18/24,50,52,49.5,49.9,113,261483,13229205.2
11/14/24,50.5,50.5,48.8,49,107,1465142,71834372
11/13/24,51.2,51.2,50,50.2,162,131831,6636412.3
2011-12-24,51.4,51.4,50.9,51,91,83486,4279046.9
2011-11-24,51,52,51,51.4,98,95943,4931223.2
2011-08-24,50.8,51,50.2,50.4,105,58438,2974273.4
2011-07-24,48.8,50.7,48.4,50.2,125,58928,2912500.8
2011-06-24,51,51,48.5,48.6,444,486993,23904138.1
2011-05-24,52,52,50.7,51,148,142729,7305385.6
2011-04-24,52,52.6,51.5,51.7,110,139086,7196309.7
2011-01-24,50.5,53.1,50.5,52,247,478903,24788024.6
10/30/24,52.5,53.5,50.2,50.8,366,598966,30709372.7
10/29/24,54.5,55,51.2,52.5,573,711648,37414895
10/28/24,50.5,55.5,50.5,54.2,1156,3196318,170667942.4
10/25/24,46.7,51,46.5,50.2,594,1662322,82653040.3
10/24/24,46.5,46.7,46,46.5,124,193727,8942265.9
10/23/24,45.5,46.5,44.6,45.8,160,696341,31686875.6
10/22/24,46,46,45,45.1,126,89109,4016900.1
10/21/24,45.5,46,44.7,45.7,311,760744,34714975.7
10/18/24,42,46.6,41,43.9,431,1783925,77373771.2
10/16/24,38.8,42.9,38.7,42,333,5156165,203438153.3
10/15/24,38.9,38.9,38.4,38.5,27,13428,517942.7
10/14/24,38.7,38.9,38.3,38.5,78,66466,2558212.5
2010-11-24,38.7,39,38.5,38.7,129,2437582,93854269.3
2010-10-24,39.5,39.5,38.8,38.9,58,10396,405271.5
2010-09-24,39.4,39.4,39,39.4,69,204598,8054157.8
2010-08-24,39.5,39.5,38.8,39,101,45890,1795599.2
2010-07-24,38.5,39.6,38.5,39.2,138,1527915,59725596.2
2010-04-24,39,39.1,38,38.7,327,1649943,63552089.5
2010-03-24,40,41.5,38.9,39,844,1679522,66366327.1
